"id","mien","english","category","source"
"53","Zoux gueix-sieqv nyei ziangh hoc, zuqc longc nzung-waac","'At ceremony time, one must use song language.' Nzung-waac bridges the gap between everyday speech and sacred ritual. Its poetic cadence creates a ceremonial atmosphere that connects participants to ancestral traditions.","spiritual","Arisawa (2016)"
"54","Mienh zoux gong-fu se weic zipv ong-taaix","'The Mien do ceremonies to honor ancestors.' Gong-fu (ceremonies) are elaborate events involving ritual chanting, sacrificial offerings, and community feasting. They reinforce social bonds and spiritual obligations.","spiritual","Arisawa (2016)"
"55","Sai mienh doqc nzung-waac buo hnoi buo muonz","'The ritual practitioner recites song language for three days and three nights.' Major Mien ceremonies are marathon events. The sai mienh must memorize and perform hundreds of verses without error.","spiritual","Arisawa (2016)"
"56","Ong-taaix nyei hmuangv goux jienv mbuo","'The ancestors' spirits watch over us.' The Mien believe ancestral spirits (hmuangv) remain active protectors of their descendants. Proper ceremonies ensure these spirits are pleased and continue their guardianship.","spiritual","Arisawa (2016)"
"57","Mienh nyei gueix-sieqv longc jaiv caux jieqv ziec","'Mien ceremonies use chicken and pig as sacrifice.' Animal offerings are central to Mien ritual practice. The specific animals and their preparation follow strict traditional protocols passed down through generations.","spiritual","Arisawa (2016)"
"58","Ziec-waac se loz-hnoi nyei waac, ih zanc camv mienh gorngv duqv","'Ritual language is the language of the past; now few people can speak it.' The decline of ziec-waac speakers is a major concern. Without new practitioners learning this sacred register, irreplaceable ceremonial knowledge is at risk.","spiritual","Arisawa (2016)"
"59","Mienh daux gaux bun duqv longx nyei maengc","'The Mien pray for a good life.' Prayer in Mien culture encompasses petitions for health, harvest, family harmony, and community wellbeing. It connects daily life to spiritual practice.","spiritual","Arisawa (2016)"
"60","Gueix-sieqv nyei ziangh hoc zuangx mienh daaih gapv jienv","'At ceremony time, all the people come together.' Ceremonies are community events that strengthen social bonds. They bring together families, clans, and even visitors from other Mien communities.","spiritual","Arisawa (2016)"
"61","Jiex Sen Borngv se Mienh nyei gorn-ndoqv sou","'The Mountain Crossing Passport is the Mien foundational document.' This sacred text describes the covenant between Emperor Ping Huang and the Mien, granting them the right to live freely in mountains without taxes. It remains central to Mien identity.","history","Arisawa (2016)"
"62","Piu-Yiuh Jiex Koiv se gorngv taux Mienh jiex koiv nyei jauv","'The Sea Crossing Odyssey tells of the Mien journey across the sea.' This narrative recounts the ancestors' perilous ocean voyage, where they petitioned the dragon spirit for protection during a devastating storm.","history","Arisawa (2016)"
"63","Mienh yiem mbong gu'nguaaic buo cin hnyangx","'The Mien have lived in the high mountains for three thousand years.' Highland dwelling shaped every aspect of Mien life, from swidden agriculture to spiritual practices centered on mountain landscapes.","history","Arisawa (2016)"
"64","Mienh cuotv Naamh Ging-Zouc mingh taux Laos","'The Mien migrated from southern China to Laos.' Over centuries, Mien communities gradually moved south through Guangxi and Yunnan provinces, eventually settling in the mountains of Laos, Vietnam, and Thailand.","history","Arisawa (2016)"
"65","Mienh yiem Laos ziex baeqv hnyangx","'The Mien lived in Laos for hundreds of years.' During this period, Mien communities maintained their language, ceremonies, and clan structure while adapting to the mountain environment of mainland Southeast Asia.","history","Arisawa (2016)"
"66","Hnyangx 1975, Mienh zuqc cuotv Laos","'In 1975, the Mien had to leave Laos.' The end of the Secret War forced thousands of Mien who had aided American forces to flee across the Mekong River to refugee camps in Thailand.","history","Arisawa (2016)"
"67","Mienh daaih Amelikaa yiem hnyangx 1975 taux 1990","'The Mien came to America between 1975 and 1990.' Resettled primarily in California, Oregon, and Washington, the Mien began the challenging process of building new communities while preserving ancient traditions.","history","Arisawa (2016)"
"68","Mienh tengx Amelikaa nyei baeng mborqv jaax yiem Laos","'The Mien helped American soldiers fight the war in Laos.' During the Secret War, Mien communities served as guerrilla fighters and intelligence gatherers, a sacrifice that led to their refugee status after the war.","history","Arisawa (2016)"
"69","Mienh cuotv Laos jiex Mekong ndaamv mingh Taih-Guoqv","'The Mien left Laos crossing the Mekong River to Thailand.' The dangerous river crossing was a defining moment for many Mien families. Some traveled by night, carrying children and elderly through treacherous currents.","history","Arisawa (2016)"
"70","Mienh daaih Amelikaa benx ziqc jauv nyei mienh","'The Mien came to America as refugees.' Arriving with little more than their cultural knowledge, the Mien faced the challenge of adapting to American life while maintaining their identity, language, and ceremonies.","history","Arisawa (2016)"
"71","Mienh yiem Amelikaa corc goux jienv Mienh nyei hungh doic","'The Mien in America still preserve their culture.' Despite the pressures of assimilation, Mien communities in cities like Sacramento and Portland maintain ceremonies, language programs, and cultural organizations.","history","Arisawa (2016)"
"72","Hnyangx 1984, mienh zoux Mienh nyei Lomaa sou-gorn","'In 1984, the Mien Roman script was developed.' The Unified Script (Lomaa sou-gorn) replaced the older Chinese character-based writing system, making Mien literacy accessible to a wider audience.","history","Arisawa (2016)"
"73","Mienh nyei ong-taaix yiem Ging-Zouc cuotv daaih","'The Mien ancestors came from China.' Southern China, particularly the provinces of Guangdong, Guangxi, Guizhou, and Yunnan, is considered the ancestral homeland of the Iu Mien people.","history","Arisawa (2016)"
"74","Mienh nyei waac se Hmongx-Mienh nyei waac-fingx","'The Mien language belongs to the Hmong-Mien language family.' This linguistic classification connects the Mien to the Hmong and other related groups, all sharing ancient roots in southern China.","history","Arisawa (2016)"
"75","Mienh nyei cien-sou se longc Fangx-kuv sou fiev","'Mien traditional documents are written using Chinese characters.' Before the Unified Script, the Mien borrowed Chinese writing for their sacred texts, creating a unique semi-diglossic literary tradition.","history","Arisawa (2016)"
"76","Mienh yiem Taih-Guoqv, Laos, caux Vietnam","'The Mien live in Thailand, Laos, and Vietnam.' Across mainland Southeast Asia, Mien communities occupy highland areas, maintaining remarkably consistent cultural practices despite national borders.","history","Arisawa (2016)"
"77","Mienh nyei hungh doic jiex daaih ziex cin hnyangx","'Mien culture has been passed down for thousands of years.' The continuity of Mien traditions through millennia of migration is remarkable. Ceremonies performed today in Sacramento echo those from ancient Chinese mountains.","history","Arisawa (2016)"
"78","Mienh yiem Amelikaa maaih ziex cin mienh","'There are tens of thousands of Mien in America.' The American Mien community, concentrated in California and the Pacific Northwest, represents one of the largest Mien diaspora populations in the world.","history","Arisawa (2016)"
"79","Mienh nyei waac corc maaih mienh gorngv yiem Amelikaa","'The Mien language is still spoken in America.' Despite English dominance, Mien is actively spoken in homes, churches, and community gatherings. Language classes and cultural events help sustain it for new generations.","history","Arisawa (2016)"
"80","Mienh cuotv daaih yiem Amelikaa yaac maaih mienh yiem Faatv-Guoqv","'Mien diaspora live in America and also France.' The French Mien community, though smaller, maintains active cultural ties with American Mien communities, creating a global network of cultural preservation.","history","Arisawa (2016)"
"81","Mienh ndaangc yiem Naamh Ging-Zouc nyei mbong gu'nguaaic","'The Mien previously lived in the mountains of southern China.' For centuries, the Mien cultivated rice and other crops on steep mountain slopes, developing sophisticated agricultural techniques adapted to highland conditions.","history","Arisawa (2016)"
"82","Mienh yiem Amelikaa corc zoux gueix-sieqv","'The Mien in America still perform ceremonies.' Traditional ceremonies including weddings, ancestor worship, and New Year celebrations continue in American cities, adapted to new settings but maintaining ancient forms.","history","Arisawa (2016)"
"83","Mienh nyei waac se maiv duqv ndutc","'The Mien language must not be lost.' Language revitalization has become urgent as fewer children grow up speaking Mien fluently. Community leaders advocate for bilingual education and family language transmission.","cultural","Arisawa (2016)"
"84","Mienh nyei fu'jueiv yiem Amelikaa hoqc Ging-waac mv baac yaac oix zuqc hoqc Mienh waac","'Mien children in America learn English but must also learn Mien.' Bilingualism is seen as essential. English opens doors to opportunity while Mien connects children to their heritage, ceremonies, and community.","cultural","Arisawa (2016)"
"85","Mienh nyei waac se gorngv taux Mienh nyei hnyouv","'The Mien language speaks to the Mien heart.' Certain emotional and spiritual concepts can only be fully expressed in Mien. The language carries nuances of feeling that no translation can capture.","cultural","Arisawa (2016)"
"86","Mienh da'faanh bun fu'jueiv hoqc goux hungh doic","'The Mien always teach children to preserve culture.' Cultural education is considered a communal responsibility. Grandparents, parents, uncles, and aunts all play roles in passing down knowledge.","cultural","Arisawa (2016)"
"87","Mienh nyei hungh doic se maaih mienh goux jienv yiem","'Mien culture has people preserving and living it.' Culture is not a museum artifact but a living practice. Every Mien person who speaks the language, tells stories, or participates in ceremonies keeps it alive.","cultural","Arisawa (2016)"
"88","Mienh nyei nzung-waac caux ziec-waac mv fih hnangv jaax","'Mien song language and ritual language are different from each other.' These two literary registers serve different functions. Nzung-waac is used in songs and poetry, while ziec-waac is reserved for sacred sacrificial rites.","cultural","Arisawa (2016)"
"89","Mienh nyei biauv-zangc se maaih leiz","'The Mien household has rules and protocols.' Family governance follows traditional structures with defined roles for elders, parents, and children. Respect for hierarchy maintains harmony within the home.","cultural","Arisawa (2016)"
"90","Mienh nyei waac cietv nyungc qiex","'The Mien language has seven tones.' Tone is crucial to meaning in Mien. The same syllable pronounced with different tones produces entirely different words, making tonal mastery essential for learners.","cultural","Arisawa (2016)"
"91","Mienh nyei sou-gorn se Lomaa sou-gorn","'The Mien script is Roman-based.' The Unified Script adopted in the 1980s uses the Latin alphabet with tone marks as final letters. This made Mien literacy far more accessible than the previous Chinese character system.","cultural","Arisawa (2016)"
"92","Mienh yiem benx qunx yiem norm-norm dorngx","'The Mien live in communities in various places.' Whether in mountain villages of Thailand or neighborhoods of Sacramento, the Mien maintain close-knit community structures centered on clan and family ties.","cultural","Arisawa (2016)"
"93","Mienh nyei cien-sou se maaih mienh njaaux jienv bun fu'jueiv hoqc","'Mien traditional knowledge is taught by elders to children.' Knowledge transmission in Mien culture is personal and oral. Children learn by observing, listening, and participating alongside experienced adults.","cultural","Arisawa (2016)"
"94","Mienh nyei cing-nzengc waac se maiv duqv gorngv la'guaih","'Mien sacred words must not be spoken carelessly.' Sacred language carries spiritual power. Using ritual words outside proper ceremonial contexts is considered disrespectful to ancestors and potentially dangerous.","cultural","Arisawa (2016)"
"95","Mienh nyei zangc-hoc se weic jangx jienv ong-taaix","'Mien festivals are for remembering ancestors.' Festivals combine celebration with spiritual observance. They are occasions for communities to gather, share food, perform ceremonies, and strengthen cultural bonds.","cultural","Arisawa (2016)"
"96","Mienh nyei mbuox bun cing mienh nyei fingx caux baan-buic","'A Mien name reveals the person's clan and generation.' Names are not arbitrary in Mien culture. They encode social information that connects individuals to their lineage and community.","naming","Arisawa (2016)"
"97","Baan-buic mbuox se yiem diex bung jiex daaih","'The generation name is inherited from the father's side.' Patrilineal naming ensures that each person's generational position within their clan is clearly marked and recognized by all.","naming","Arisawa (2016)"
"98","Norm-norm fingx maaih ganh nyei baan-buic paaiv","'Each clan has its own generation name cycle.' The unique sequences prevent confusion between clans and create a perpetual naming system that has functioned for centuries.","naming","Arisawa (2016)"
"99","Baan-buic mbuox aengx jiex yietc nzunc nor nzuonx daaih","'When the generation name cycle completes, it returns to the beginning.' This cyclical system mirrors the Mien understanding of time as circular rather than linear, connecting past and future generations.","naming","Arisawa (2016)"
"100","Mienh buatc mienh nyei mbuox nor hiuv ninh nyei fingx","'When Mien see a person's name, they know their clan.' The naming system functions as a social identifier. Two Mien strangers can establish their relationship simply by exchanging names.","naming","Arisawa (2016)"
"101","Bingz Wangz bun Mienh norm sou heuc Jiex Sen Borngv","'Emperor Ping Huang gave the Mien a document called the Mountain Crossing Passport.' This foundational text granted the Mien autonomy in the mountains and is retold at major ceremonies as the basis of Mien self-governance.","story","Arisawa (2016)"
"102","Loz-hnoi maaih ziepc faam fingx Mienh mv baac ih norm fingx zuqc mietc mi'aqv","'Long ago there were thirteen Mien clans but one was destroyed.' The Ziangx clan, the thirteenth, perished by drowning during the sea crossing. The Mien remember them as a lost branch of the family.","story","Arisawa (2016)"
"103","Lungh muangx Mienh nyei waac yaac tengx ninh mbuo jiex koiv","'The dragon heard the Mien's words and helped them cross the sea.' During the perilous sea crossing, the Mien prayed and the dragon calmed the storm. This act of salvation is why the Mien revere the dragon.","story","Arisawa (2016)"
"104","Mienh jiex koiv nyei ziangh hoc, maaih domh duih mbiungc","'When the Mien crossed the sea, there was a great storm.' The Sea Crossing narrative describes waves as tall as mountains and winds that tore sails. The community's collective prayer saved them from destruction.","story","Arisawa (2016)"
"105","Mienh nyei ong-taaix ndo haic, ninh mbuo jiex mbong, jiex koiv, yaac jiex deic-bung","'The Mien ancestors were remarkable. They crossed mountains, seas, and lands.' This tribute honors the resilience of ancestors who endured centuries of migration while preserving their language and culture intact.","story","Arisawa (2016)"
"106","Ziangx fingx se Mienh nyei da'ziepc-faam fingx, ninh mbuo njiec wuom daic mi'aqv","'The Ziangx clan was the thirteenth Mien clan; they drowned.' Their loss during the sea crossing is mourned in Mien oral tradition. Some ceremonies include remembrance of the lost clan.","story","Arisawa (2016)"
"107","Jiex Sen Borngv gorngv Mienh maiv zuqc jiex nzuih","'The Mountain Crossing Passport says the Mien did not need to pay taxes.' This exemption symbolized Mien autonomy and self-governance. In exchange for mountain living, the Mien managed their own affairs without imperial interference.","story","Arisawa (2016)"
"108","Mienh nyei gouv gorngv lungh se Mienh nyei gorn-ndoqv","'Mien stories say the dragon is the Mien origin.' The dragon is both protector and progenitor in Mien mythology. It represents the spiritual force that sustains the Mien people through all their journeys.","story","Arisawa (2016)"
"109","Gong-gong gorngv loz-hnoi nyei Mienh hiuv longc nzung-waac gorngv ziex baeqv hoc waac","'Grandfather said the old Mien could recite hundreds of verses in song language.' The declining number of people who master nzung-waac is a profound cultural loss. Each elder who passes takes irreplaceable knowledge.","story","Arisawa (2016)"
"110","Maa-maa nyei gouv gorngv Mienh yiem mbong gu'nguaaic nyei maengc se longx haic","'Grandmother's story says life in the highlands was very good.' Nostalgia for the mountain homeland pervades Mien storytelling. Elders describe clean water, fresh air, and strong community bonds.","story","Arisawa (2016)"
"111","Ndaangc Mienh longc Fangx-kuv sou fiev Mienh nyei sou","'Previously the Mien used Chinese characters to write.' The transition from Chinese characters to Roman script was both liberating and bittersweet. Older sacred texts remain inaccessible to those who only know the new system.","story","Arisawa (2016)"
"112","Mienh nyei ong-taaix yiem mbong gu'nguaaic buo cin hnyangx","'The Mien ancestors lived in the mountains for three thousand years.' This oral tradition establishes deep roots in highland environments. The mountain is not just home but part of Mien spiritual identity.","story","Arisawa (2016)"
"113","Bingz Wangz gorngv: Meih mbuo duqv yiem mbong, maiv zuqc jiex nzuih","'Ping Huang said: You may live in the mountains, no taxes.' This direct quote from the Mountain Crossing Passport tradition is among the most important phrases in Mien oral history.","story","Arisawa (2016)"
"114","Mienh loz-hnoi longc nzung-waac fiev sou","'The Mien of old used song language to write texts.' Nzung-waac served as a literary medium for recording ceremonies, songs, and important cultural knowledge in a semi-Chinese poetic form.","story","Arisawa (2016)"
"115","Mienh nyei gouv se gorngv taux Mienh nyei jauv, yiem mbong jiex taux koiv","'Mien stories speak of the journey from mountains to seas.' The migration narrative is the central epic of Mien identity, connecting highland origins to oceanic crossings to diaspora destinations.","story","Arisawa (2016)"
"116","Mienh cuotv Laos nyei ziangh hoc, maaih domh mborqv jaax","'When the Mien left Laos, there was a great war.' The Secret War in Laos (1964-1975) profoundly impacted Mien communities. Their role as American allies made them targets after the communist victory.","story","Arisawa (2016)"
"117","Mienh daaih Amelikaa yiem benx qunx yiem California, Oregon","'The Mien came to America and settled in California and Oregon.' These states became centers of Mien American life, with Sacramento, Oakland, Portland, and Seattle hosting the largest communities.","story","Arisawa (2016)"
"118","Mienh nyei fu'jueiv yiem Amelikaa gorngv Ging-waac mv baac maiv gorngv Mienh waac","'Mien children in America speak English but don't speak Mien.' This language shift within a single generation is the greatest threat to Mien cultural continuity. Parents and grandparents struggle to reverse the trend.","story","Arisawa (2016)"
"119","Mienh yiem Thailand nyei mbong gu'nguaaic maaih ziex cin mienh","'Thousands of Mien live in the mountains of Thailand.' Thai Mien communities, particularly in Chiang Rai province, maintain some of the most traditional Mien cultural practices in the world.","story","Arisawa (2016)"
"120","Mienh nyei sou gorngv lungh bun mienh duqv yiem","'Mien texts say the dragon gave people life.' The dragon's role as life-giver extends beyond protection. The Mien view the dragon as the spiritual source of their existence and prosperity.","story","Arisawa (2016)"
"121","Yie ih hnoi mingh zoux gong","'I'm going to work today.' This basic sentence demonstrates Mien SVO word order. 'Yie' (I) is the subject, 'mingh' (go) and 'zoux' (do) form a serial verb construction, and 'gong' (work) is the object.","grammar","Arisawa (2016)"
